model,symbol,date,split,regime,direction,confluence,is_atz,gtf_7,gtf_13,conviction,pnl_r,is_win
MODEL_A,BERGEPAINT,2025-08-01,TRAIN,BULL,DEMAND,1,False,7.0,9.0,68,-1.0,False
MODEL_B,BERGEPAINT,2025-08-01,TRAIN,BULL,DEMAND,1,False,7.0,9.0,68,-1.0,False
MODEL_C,BERGEPAINT,2025-08-01,TRAIN,BULL,DEMAND,1,False,7.0,9.0,68,-1.0,False
MODEL_D,BERGEPAINT,2025-08-01,TRAIN,BULL,DEMAND,1,False,7.0,9.0,68,-1.0,False
MODEL_E,BERGEPAINT,2025-08-01,TRAIN,BULL,DEMAND,1,False,7.0,9.0,68,-1.0,False
MODEL_A,BERGEPAINT,2025-08-08,TRAIN,BULL,DEMAND,2,False,7.0,10.0,90,-1.0,False
MODEL_B,BERGEPAINT,2025-08-08,TRAIN,BULL,DEMAND,2,False,7.0,10.0,90,-1.0,False
MODEL_C,BERGEPAINT,2025-08-08,TRAIN,BULL,DEMAND,2,False,7.0,10.0,90,-1.0,False
MODEL_D,BERGEPAINT,2025-08-08,TRAIN,BULL,DEMAND,2,False,7.0,10.0,90,-1.0,False
MODEL_E,BERGEPAINT,2025-08-08,TRAIN,BULL,DEMAND,2,False,7.0,10.0,90,-1.0,False
MODEL_A,BERGEPAINT,2025-08-18,TRAIN,BULL,DEMAND,2,False,7.0,10.0,90,-1.0,False
MODEL_B,BERGEPAINT,2025-08-18,TRAIN,BULL,DEMAND,2,False,7.0,10.0,90,-1.0,False
MODEL_C,BERGEPAINT,2025-08-18,TRAIN,BULL,DEMAND,2,False,7.0,10.0,90,-1.0,False
MODEL_D,BERGEPAINT,2025-08-18,TRAIN,BULL,DEMAND,2,False,7.0,10.0,90,-1.0,False
MODEL_E,BERGEPAINT,2025-08-18,TRAIN,BULL,DEMAND,2,False,7.0,10.0,90,-1.0,False
MODEL_A,BERGEPAINT,2025-08-25,TRAIN,BULL,SUPPLY,2,False,7.0,8.5,90,-1.0,False
MODEL_B,BERGEPAINT,2025-08-25,TRAIN,BULL,SUPPLY,2,False,7.0,8.5,90,-1.0,False
